H;penstroke-edit;2;caveat_edit_subset fixing.cdr;464;564;0
G;0;0000;hash
S;2;0;171.26;324.21
S;2;0;169.22;326.41
S;2;0;167.18;328.61
S;2;0;165.14;330.82
S;2;0;163.11;333.03
S;2;0;161.09;335.24
S;2;0;159.07;337.46
S;2;0;157.05;339.68
S;2;0;155.04;341.91
S;2;0;153.04;344.15
S;2;0;151.04;346.38
S;2;0;149.04;348.63
S;2;0;147.06;350.88
S;2;0;145.07;353.13
S;2;0;143.10;355.39
S;2;0;141.13;357.66
S;2;0;139.17;359.93
S;2;0;137.22;362.20
S;2;0;135.27;364.49
S;2;0;133.33;366.78
S;2;0;131.40;369.08
S;2;0;129.47;371.38
S;2;0;127.56;373.69
S;2;0;125.65;376.01
S;2;0;123.75;378.33
S;2;0;121.86;380.66
S;2;0;119.98;383.00
S;2;0;118.11;385.35
S;2;0;116.24;387.70
S;2;0;114.39;390.06
S;2;0;112.55;392.43
S;2;0;110.71;394.80
S;2;0;108.89;397.19
S;2;0;107.08;399.58
S;2;0;105.28;401.98
S;2;0;103.49;404.39
S;2;0;101.71;406.81
S;2;0;99.94;409.23
S;2;0;98.18;411.66
S;2;0;96.44;414.11
S;2;0;94.70;416.56
S;2;0;92.98;419.01
S;2;0;91.27;421.48
S;2;0;89.58;423.96
S;2;0;87.90;426.44
S;2;0;86.23;428.94
S;2;0;84.57;431.44
S;2;1;184.25;186.95
S;2;1;181.28;187.43
S;2;1;178.34;188.12
S;2;1;175.46;189.01
S;2;1;172.65;190.09
S;2;1;169.91;191.35
S;2;1;167.26;192.77
S;2;1;164.69;194.35
S;2;1;162.21;196.06
S;2;1;159.82;197.90
S;2;1;157.52;199.85
S;2;1;155.32;201.90
S;2;1;153.19;204.04
S;2;1;151.16;206.26
S;2;1;149.21;208.56
S;2;1;147.33;210.92
S;2;1;145.54;213.34
S;2;1;143.82;215.82
S;2;1;142.18;218.34
S;2;1;140.61;220.92
S;2;1;139.11;223.53
S;2;1;137.68;226.18
S;2;1;136.31;228.87
S;2;1;135.02;231.59
S;2;1;133.79;234.34
S;2;1;132.63;237.13
S;2;1;131.55;239.94
S;2;1;130.54;242.77
S;2;1;129.67;245.66
S;2;1;128.96;248.59
S;2;1;128.42;251.55
S;2;1;128.07;254.55
S;2;1;127.95;257.56
S;2;1;128.10;260.57
S;2;1;128.56;263.54
S;2;1;129.41;266.43
S;2;1;130.72;269.14
S;2;1;132.53;271.54
S;2;1;134.83;273.48
S;2;1;137.49;274.88
S;2;1;140.38;275.74
S;2;1;143.36;276.15
S;2;1;146.37;276.20
S;2;1;149.37;275.91
S;2;1;152.29;275.19
S;2;1;155.11;274.13
S;2;1;157.82;272.80
S;2;1;160.42;271.28
S;2;1;162.92;269.59
S;2;1;165.33;267.79
S;2;1;167.66;265.88
S;2;1;169.91;263.88
S;2;1;172.10;261.80
S;2;1;174.21;259.65
S;2;1;176.26;257.44
S;2;1;178.25;255.18
S;2;1;180.18;252.87
S;2;1;182.05;250.50
S;2;1;183.85;248.09
