H;penstroke-edit;2;caveat_edit fixing.cdr;464;564;0
G;0;0000;a
S;2;0;174.41;293.85
S;2;0;174.35;290.84
S;2;0;173.96;287.85
S;2;0;173.23;284.93
S;2;0;172.18;282.10
S;2;0;170.81;279.42
S;2;0;169.11;276.94
S;2;0;167.09;274.70
S;2;0;164.75;272.80
S;2;0;162.14;271.30
S;2;0;159.31;270.27
S;2;0;156.35;269.76
S;2;0;153.34;269.74
S;2;0;150.36;270.19
S;2;0;147.47;271.02
S;2;0;144.69;272.18
S;2;0;142.03;273.60
S;2;0;139.50;275.23
S;2;0;137.06;277.01
S;2;0;134.69;278.87
S;2;0;132.40;280.83
S;2;0;130.18;282.86
S;2;0;128.03;284.97
S;2;0;125.94;287.15
S;2;0;123.93;289.39
S;2;0;121.98;291.69
S;2;0;120.10;294.05
S;2;0;118.29;296.45
S;2;0;116.54;298.91
S;2;0;114.86;301.41
S;2;0;113.24;303.96
S;2;0;111.70;306.55
S;2;0;110.23;309.18
S;2;0;108.82;311.84
S;2;0;107.46;314.53
S;2;0;106.14;317.24
S;2;0;104.87;319.97
S;2;0;103.63;322.72
S;2;0;102.44;325.49
S;2;0;101.29;328.27
S;2;0;100.18;331.07
S;2;0;99.12;333.89
S;2;0;98.10;336.73
S;2;0;97.14;339.59
S;2;0;96.24;342.46
S;2;0;95.39;345.36
S;2;0;94.61;348.27
S;2;0;93.91;351.20
S;2;0;93.28;354.15
S;2;0;92.76;357.11
S;2;0;92.33;360.10
S;2;0;92.03;363.10
S;2;0;91.88;366.10
S;2;0;91.89;369.12
S;2;0;92.10;372.12
S;2;0;92.55;375.10
S;2;0;93.29;378.02
S;2;0;94.36;380.84
S;2;0;95.81;383.48
S;2;0;97.66;385.85
S;2;0;99.89;387.88
S;2;0;102.42;389.50
S;2;0;105.17;390.72
S;2;0;108.07;391.56
S;2;0;111.03;392.10
S;2;0;114.03;392.42
S;2;0;117.04;392.52
S;2;0;120.05;392.42
S;2;0;123.05;392.10
S;2;0;126.02;391.58
S;2;0;128.94;390.88
S;2;0;131.83;390.00
S;2;0;134.66;388.97
S;2;0;137.43;387.79
S;2;0;140.15;386.49
S;2;0;142.81;385.08
S;2;0;145.42;383.57
S;2;0;147.98;381.98
S;2;0;150.49;380.31
S;2;0;152.95;378.57
S;2;0;155.38;376.78
S;2;0;157.77;374.94
S;2;0;160.12;373.07
S;2;0;162.45;371.15
S;2;0;164.76;369.21
S;2;0;167.04;367.25
S;2;0;169.31;365.27
S;2;0;171.58;363.27
S;2;0;173.83;361.27
S;2;0;176.08;359.27
S;2;0;178.34;357.27
S;2;0;180.60;355.28
S;2;0;182.87;353.30
S;2;0;185.16;351.34
S;2;0;187.48;349.42
G;3;0000;d
S;3;1;182.12;304.21
S;3;1;179.37;303.02
S;3;1;176.66;301.75
S;3;1;173.98;300.43
S;3;1;171.31;299.09
S;3;1;168.64;297.74
S;3;1;165.96;296.40
S;3;1;163.27;295.09
S;3;1;160.57;293.81
S;3;1;157.83;292.60
S;3;1;155.06;291.46
S;3;1;152.25;290.44
S;3;1;149.39;289.59
S;3;1;146.46;288.98
S;3;1;143.48;288.79
S;3;1;140.50;289.02
S;3;1;137.57;289.64
S;3;1;134.74;290.60
S;3;1;132.02;291.85
S;3;1;129.43;293.33
S;3;1;126.94;295.00
S;3;1;124.57;296.82
S;3;1;122.31;298.77
S;3;1;120.14;300.83
S;3;1;118.05;302.98
S;3;1;116.05;305.20
S;3;1;114.12;307.49
S;3;1;112.27;309.83
S;3;1;110.47;312.23
S;3;1;108.74;314.67
S;3;1;107.07;317.15
S;3;1;105.45;319.66
S;3;1;103.90;322.22
S;3;1;102.41;324.81
S;3;1;100.97;327.44
S;3;1;99.58;330.08
S;3;1;98.23;332.76
S;3;1;96.94;335.45
S;3;1;95.69;338.17
S;3;1;94.51;340.92
S;3;1;93.38;343.69
S;3;1;92.33;346.49
S;3;1;91.35;349.32
S;3;1;90.47;352.18
S;3;1;89.69;355.06
S;3;1;89.04;357.98
S;3;1;88.55;360.93
S;3;1;88.26;363.91
S;3;1;88.22;366.90
S;3;1;88.51;369.88
S;3;1;89.24;372.78
S;3;1;90.50;375.48
S;3;1;92.35;377.82
S;3;1;94.72;379.64
S;3;1;97.45;380.82
S;3;1;100.38;381.44
S;3;1;103.35;381.80
S;3;1;106.34;381.91
S;3;1;109.32;381.79
S;3;1;112.30;381.45
S;3;1;115.24;380.91
S;3;1;118.14;380.20
S;3;1;121.00;379.32
S;3;1;123.82;378.30
S;3;1;126.58;377.16
S;3;1;129.29;375.90
S;3;1;131.96;374.55
S;3;1;134.57;373.10
S;3;1;137.14;371.56
S;3;1;139.67;369.96
S;3;1;142.15;368.28
S;3;1;144.58;366.54
S;3;1;146.98;364.75
S;3;1;149.33;362.90
S;3;1;151.64;361.01
S;3;1;153.92;359.07
S;3;1;156.16;357.09
S;3;1;158.36;355.06
S;3;1;160.53;353.00
S;3;1;162.66;350.90
S;3;1;164.76;348.77
S;3;1;166.82;346.60
S;3;1;168.85;344.40
S;3;1;170.83;342.17
S;3;1;172.78;339.90
S;3;1;174.69;337.59
S;3;0;230.42;175.32
S;3;0;228.84;177.88
S;3;0;227.31;180.48
S;3;0;225.82;183.10
S;3;0;224.38;185.75
S;3;0;222.98;188.42
S;3;0;221.62;191.11
S;3;0;220.30;193.82
S;3;0;219.01;196.54
